"reg_adm","annee","TENURE","tot","superficie_km2","poss_ha","annee.y","ID"
5,1988,"PU",51000,566,0.901060070671378,1988,"PU_5"
5,1989,"PR",1274900,6947,1.8351806535195,1989,"PR_5"
5,1989,"PU",70100,706,0.992917847025496,1989,"PU_5"
5,1990,"PR",1274900,6947,1.8351806535195,1990,"PR_5"
5,1990,"PU",70100,706,0.992917847025496,1990,"PU_5"
5,1991,"PR",1585000,6947,2.28156038577803,1991,"PR_5"
5,1991,"PU",66800,706,0.946175637393768,1991,"PU_5"
5,1992,"PR",1585000,6947,2.28156038577803,1992,"PR_5"
5,1992,"PU",66800,698,0.95702005730659,1992,"PU_5"
5,1993,"PR",1585000,7038,2.25206024438761,1993,"PR_5"
5,1993,"PU",68960,698,0.987965616045845,1993,"PU_5"
5,1994,"PR",1585000,7038,2.25206024438761,1994,"PR_5"
5,1994,"PU",68960,698,0.987965616045845,1994,"PU_5"
5,1995,"PR",1583035,7038,2.24926825802785,1995,"PR_5"
5,1995,"PU",68960,698,0.987965616045845,1995,"PU_5"
5,1996,"PR",1583035,7038,2.24926825802785,1996,"PR_5"
5,1996,"PU",68960,698,0.987965616045845,1996,"PU_5"
5,1997,"PR",1583035,7038,2.24926825802785,1997,"PR_5"
5,1997,"PU",68960,698,0.987965616045845,1997,"PU_5"
5,1998,"PR",1583035,7038,2.24926825802785,1998,"PR_5"
5,1998,"PU",68960,698,0.987965616045845,1998,"PU_5"
5,1999,"PR",1444700,7038,2.05271383915885,1999,"PR_5"
5,1999,"PU",82100,698,1.17621776504298,1999,"PU_5"
5,2000,"PR",1444700,6974,2.07155147691425,2000,"PR_5"
5,2000,"PU",82110,678,1.21106194690265,2000,"PU_5"
5,2001,"PR",1717000,6974,2.4620017206768,2001,"PR_5"
5,2001,"PU",82110,678,1.21106194690265,2001,"PU_5"
5,2002,"PR",1308800,6974,1.87668482936622,2002,"PR_5"
5,2002,"PU",83758,678,1.23536873156342,2002,"PU_5"
5,2003,"PR",1308800,6988,1.87292501431025,2003,"PR_5"
5,2003,"PU",83758,680,1.23173529411765,2003,"PU_5"
5,2004,"PR",1308800,6988,1.87292501431025,2004,"PR_5"
5,2004,"PU",83758,680,1.23173529411765,2004,"PU_5"
5,2005,"PR",1308800,6988,1.87292501431025,2005,"PR_5"
5,2005,"PU",83758,680,1.23173529411765,2005,"PU_5"
5,2006,"PR",1308800,6988,1.87292501431025,2006,"PR_5"
5,2006,"PU",74737,680,1.09907352941176,2006,"PU_5"
5,2007,"PR",1308800,6988,1.87292501431025,2007,"PR_5"
5,2007,"PU",74737,680,1.09907352941176,2007,"PU_5"
5,2008,"PR",1308800,6988,1.87292501431025,2008,"PR_5"
5,2008,"PU",74737,680,1.09907352941176,2008,"PU_5"
5,2009,"PR",1308800,6988,1.87292501431025,2009,"PR_5"
5,2009,"PU",67963,680,0.999455882352941,2009,"PU_5"
5,2010,"PR",1308800,6988,1.87292501431025,2010,"PR_5"
5,2010,"PU",64300,680,0.945588235294118,2010,"PU_5"
5,2011,"PR",1308800,6988,1.87292501431025,2011,"PR_5"
5,2011,"PU",64300,680,0.945588235294118,2011,"PU_5"
5,2012,"PR",1308800,6988,1.87292501431025,2012,"PR_5"
5,2012,"PU",64300,680,0.945588235294118,2012,"PU_5"
5,2013,"PR",1308800,6988,1.87292501431025,2013,"PR_5"
5,2013,"PU",64300,680,0.945588235294118,2013,"PU_5"
5,2014,"PR",2052340,6988,2.93694905552376,2014,"PR_5"
5,2014,"PU",67400,680,0.991176470588235,2014,"PU_5"
6,1988,"PR",2447000,6927,3.53255377508301,1988,"PR_6"
6,1988,"PU",911000,8257,1.10330628557588,1988,"PU_6"
6,1989,"PR",2343205,10940,2.14186928702011,1989,"PR_6"
6,1989,"PU",2939025,20979,1.40093665093665,1989,"PU_6"
6,1990,"PR",2343205,10940,2.14186928702011,1990,"PR_6"
6,1990,"PU",2939025,20979,1.40093665093665,1990,"PU_6"
6,1991,"PR",2051400,10940,1.87513711151737,1991,"PR_6"
6,1991,"PU",2961200,20979,1.41150674484008,1991,"PU_6"
6,1992,"PR",2051400,10940,1.87513711151737,1992,"PR_6"
6,1992,"PU",2961200,20709,1.42990970109614,1992,"PU_6"
6,1993,"PR",2051400,10954,1.87274055139675,1993,"PR_6"
6,1993,"PU",2937471,20719,1.4177667841112,1993,"PU_6"
6,1994,"PR",3063800,10954,2.7969691436918,1994,"PR_6"
6,1994,"PU",2958271,20719,1.4278058786621,1994,"PU_6"
6,1995,"PR",2106282,10954,1.92284279715173,1995,"PR_6"
6,1995,"PU",2953916,20719,1.4257039432405,1995,"PU_6"
6,1996,"PR",2106282,10931,1.92688866526393,1996,"PR_6"
6,1996,"PU",2953916,20743,1.42405437979077,1996,"PU_6"
6,1997,"PR",2106282,10931,1.92688866526393,1997,"PR_6"
6,1997,"PU",2953916,20743,1.42405437979077,1997,"PU_6"
6,1998,"PR",2106282,10931,1.92688866526393,1998,"PR_6"
6,1998,"PU",2953916,20743,1.42405437979077,1998,"PU_6"
6,1999,"PR",1699400,10931,1.55466105571311,1999,"PR_6"
6,1999,"PU",2912300,20765,1.40250421382133,1999,"PU_6"
6,2000,"PR",2254400,10662,2.11442506096417,2000,"PR_6"
6,2000,"PU",2899833,20743,1.3979814877308,2000,"PU_6"
6,2001,"PR",1680800,10662,1.57643969236541,2001,"PR_6"
6,2001,"PU",2974314,20743,1.43388805862219,2001,"PU_6"
6,2002,"PR",1582500,10662,1.48424310635903,2002,"PR_6"
6,2002,"PU",2974314,20743,1.43388805862219,2002,"PU_6"
6,2003,"PR",1582500,10496,1.50771722560976,2003,"PR_6"
6,2003,"PU",2974314,20901,1.42304865795895,2003,"PU_6"
6,2004,"PR",1582500,10496,1.50771722560976,2004,"PR_6"
6,2004,"PU",2974314,20901,1.42304865795895,2004,"PU_6"
6,2005,"PR",1582500,10496,1.50771722560976,2005,"PR_6"
6,2005,"PU",2974314,20901,1.42304865795895,2005,"PU_6"
6,2006,"PR",1582500,10496,1.50771722560976,2006,"PR_6"
6,2006,"PU",2647618,20901,1.26674226113583,2006,"PU_6"
6,2007,"PR",1582500,10496,1.50771722560976,2007,"PR_6"
6,2007,"PU",2647618,20901,1.26674226113583,2007,"PU_6"
6,2008,"PR",1582500,10496,1.50771722560976,2008,"PR_6"
6,2008,"PU",2647618,20901,1.26674226113583,2008,"PU_6"
6,2009,"PR",1582500,10496,1.50771722560976,2009,"PR_6"
6,2009,"PU",2562116,20901,1.22583417061385,2009,"PU_6"
6,2010,"PR",1582500,10496,1.50771722560976,2010,"PR_6"
6,2010,"PU",2149500,20901,1.02841969283766,2010,"PU_6"
6,2011,"PR",1582500,10496,1.50771722560976,2011,"PR_6"
6,2011,"PU",2149500,20901,1.02841969283766,2011,"PU_6"
6,2012,"PR",1582500,10496,1.50771722560976,2012,"PR_6"
6,2012,"PU",2149500,20901,1.02841969283766,2012,"PU_6"
6,2013,"PR",1582500,10496,1.50771722560976,2013,"PR_6"
6,2013,"PU",2149500,20901,1.02841969283766,2013,"PU_6"
6,2014,"PR",2359080,10496,2.24759908536585,2014,"PR_6"
6,2014,"PU",2286700,20901,1.09406248504856,2014,"PU_6"
7,1988,"PR",1225000,7287,1.68107588856868,1988,"PR_7"
7,1988,"PU",4553000,39249,1.16002955489312,1988,"PU_7"
7,1989,"PR",1225000,5409,2.26474394527639,1989,"PR_7"
7,1989,"PU",3901615,21762,1.79285681463101,1989,"PU_7"
7,1990,"PR",1225000,5409,2.26474394527639,1990,"PR_7"
7,1990,"PU",3901615,21762,1.79285681463101,1990,"PU_7"
7,1991,"PR",1225000,5409,2.26474394527639,1991,"PR_7"
7,1991,"PU",3791900,21762,1.74244095211837,1991,"PU_7"
7,1992,"PR",1225000,5409,2.26474394527639,1992,"PR_7"
7,1992,"PU",3791900,21764,1.74228083072965,1992,"PU_7"
7,1993,"PR",1225000,5405,2.26641998149861,1993,"PR_7"
7,1993,"PU",3750003,21764,1.72303023341298,1993,"PU_7"
7,1994,"PR",1225000,5405,2.26641998149861,1994,"PR_7"
7,1994,"PU",3736855,21764,1.7169890645102,1994,"PU_7"
7,1995,"PR",1256192,5405,2.32412950971323,1995,"PR_7"
7,1995,"PU",3736855,21764,1.7169890645102,1995,"PU_7"
7,1996,"PR",1256192,5405,2.32412950971323,1996,"PR_7"
7,1996,"PU",3736855,21764,1.7169890645102,1996,"PU_7"
7,1997,"PR",1256192,5405,2.32412950971323,1997,"PR_7"
7,1997,"PU",3736855,21764,1.7169890645102,1997,"PU_7"
7,1998,"PR",1256192,5405,2.32412950971323,1998,"PR_7"
7,1998,"PU",3736855,21764,1.7169890645102,1998,"PU_7"
7,1999,"PR",1156100,5405,2.13894542090657,1999,"PR_7"
7,1999,"PU",3725200,21955,1.69674333864723,1999,"PU_7"
7,2000,"PR",1157200,5246,2.20587113991613,2000,"PR_7"
7,2000,"PU",3725254,21978,1.69499226499227,2000,"PU_7"
7,2001,"PR",1219700,5246,2.32500953107129,2001,"PR_7"
7,2001,"PU",3436569,21978,1.56364045864046,2001,"PU_7"
7,2002,"PR",1219700,5246,2.32500953107129,2002,"PR_7"
7,2002,"PU",3436669,21968,1.56439776037873,2002,"PU_7"
7,2003,"PR",1219700,5243,2.32633988174709,2003,"PR_7"
7,2003,"PU",3436669,21996,1.56240634660847,2003,"PU_7"
7,2004,"PR",1219700,5243,2.32633988174709,2004,"PR_7"
7,2004,"PU",3436669,21996,1.56240634660847,2004,"PU_7"
7,2005,"PR",1219700,5243,2.32633988174709,2005,"PR_7"
7,2005,"PU",3436669,21996,1.56240634660847,2005,"PU_7"
7,2006,"PR",1219700,5243,2.32633988174709,2006,"PR_7"
7,2006,"PU",3142509,21996,1.42867294053464,2006,"PU_7"
7,2007,"PR",1219700,5243,2.32633988174709,2007,"PR_7"
7,2007,"PU",3142509,21996,1.42867294053464,2007,"PU_7"
7,2008,"PR",1219700,5243,2.32633988174709,2008,"PR_7"
7,2008,"PU",3142509,21996,1.42867294053464,2008,"PU_7"
7,2009,"PR",1219700,5243,2.32633988174709,2009,"PR_7"
7,2009,"PU",2285964,21996,1.03926350245499,2009,"PU_7"
7,2010,"PR",1219700,5243,2.32633988174709,2010,"PR_7"
7,2010,"PU",2467200,21996,1.12165848336061,2010,"PU_7"
7,2011,"PR",1219700,5243,2.32633988174709,2011,"PR_7"
7,2011,"PU",2467200,21996,1.12165848336061,2011,"PU_7"
7,2012,"PR",1219700,5244,2.32589626239512,2012,"PR_7"
7,2012,"PU",2467200,21996,1.12165848336061,2012,"PU_7"
7,2013,"PR",1219700,5244,2.32589626239512,2013,"PR_7"
7,2013,"PU",2467200,21996,1.12165848336061,2013,"PU_7"
7,2014,"PR",1655996,5244,3.15788710907704,2014,"PR_7"
7,2014,"PU",2596100,21996,1.18026004728132,2014,"PU_7"
8,1988,"PR",736000,6247,1.17816551944934,1988,"PR_8"
8,1988,"PU",8158000,84811,0.961903526665173,1988,"PU_8"
8,1989,"PR",735000,3704,1.98434125269978,1989,"PR_8"
8,1989,"PU",5832260,44370,1.31446022086996,1989,"PU_8"
8,1990,"PR",735000,3704,1.98434125269978,1990,"PR_8"
8,1990,"PU",5832260,44370,1.31446022086996,1990,"PU_8"
8,1991,"PR",743600,3704,2.00755939524838,1991,"PR_8"
8,1991,"PU",5942400,44370,1.33928329952671,1991,"PU_8"
8,1992,"PR",743600,3704,2.00755939524838,1992,"PR_8"
8,1992,"PU",5942400,44322,1.34073372140246,1992,"PU_8"
8,1993,"PR",743600,3703,2.00810153929247,1993,"PR_8"
8,1993,"PU",6053773,44322,1.36586187446415,1993,"PU_8"
8,1994,"PR",743600,3703,2.00810153929247,1994,"PR_8"
8,1994,"PU",6052321,44322,1.36553427191914,1994,"PU_8"
8,1995,"PR",393090,3703,1.06154469349176,1995,"PR_8"
8,1995,"PU",6343786,44322,1.4312950679121,1995,"PU_8"
8,1996,"PR",393090,3704,1.06125809935205,1996,"PR_8"
8,1996,"PU",6343786,44320,1.43135965703971,1996,"PU_8"
8,1997,"PR",393090,3704,1.06125809935205,1997,"PR_8"
8,1997,"PU",6343786,44320,1.43135965703971,1997,"PU_8"
8,1998,"PR",393090,3704,1.06125809935205,1998,"PR_8"
8,1998,"PU",6343786,44320,1.43135965703971,1998,"PU_8"
8,1999,"PR",388600,3704,1.04913606911447,1999,"PR_8"
8,1999,"PU",6143200,44172,1.39074526849588,1999,"PU_8"
8,2000,"PR",391900,3675,1.06639455782313,2000,"PR_8"
8,2000,"PU",6151143,44878,1.37063661482241,2000,"PU_8"
8,2001,"PR",823400,3675,2.24054421768707,2001,"PR_8"
8,2001,"PU",6167495,44878,1.37428027095682,2001,"PU_8"
8,2002,"PR",844600,3675,2.29823129251701,2002,"PR_8"
8,2002,"PU",5991584,44878,1.33508266856812,2002,"PU_8"
8,2003,"PR",844600,3666,2.30387343153301,2003,"PR_8"
8,2003,"PU",5991584,44929,1.33356718377885,2003,"PU_8"
8,2004,"PR",844600,3666,2.30387343153301,2004,"PR_8"
8,2004,"PU",5991584,44929,1.33356718377885,2004,"PU_8"
8,2005,"PR",844600,3666,2.30387343153301,2005,"PR_8"
8,2005,"PU",5991584,44929,1.33356718377885,2005,"PU_8"
8,2006,"PR",844600,3666,2.30387343153301,2006,"PR_8"
8,2006,"PU",5143430,44929,1.14479066972334,2006,"PU_8"
8,2007,"PR",844600,3666,2.30387343153301,2007,"PR_8"
8,2007,"PU",5143430,44929,1.14479066972334,2007,"PU_8"
8,2008,"PR",844600,3666,2.30387343153301,2008,"PR_8"
8,2008,"PU",5143430,44929,1.14479066972334,2008,"PU_8"
8,2009,"PR",844600,3666,2.30387343153301,2009,"PR_8"
8,2009,"PU",4303638,44929,0.957875314384918,2009,"PU_8"
8,2010,"PR",844600,3666,2.30387343153301,2010,"PR_8"
8,2010,"PU",3376200,44929,0.751452291393087,2010,"PU_8"
8,2011,"PR",844600,3666,2.30387343153301,2011,"PR_8"
8,2011,"PU",3376200,44929,0.751452291393087,2011,"PU_8"
8,2012,"PR",844600,3666,2.30387343153301,2012,"PR_8"
8,2012,"PU",3376200,44929,0.751452291393087,2012,"PU_8"
8,2013,"PR",844600,3666,2.30387343153301,2013,"PR_8"
8,2013,"PU",3376200,44929,0.751452291393087,2013,"PU_8"
8,2014,"PR",712386,3666,1.94322422258592,2014,"PR_8"
8,2014,"PU",3620400,44929,0.805804714104476,2014,"PU_8"
9,1988,"PR",139000,1335,1.04119850187266,1988,"PR_9"
9,1988,"PU",4572000,156679,0.291806815208164,1988,"PU_9"
9,1989,"PR",139400,1263,1.10372129849565,1989,"PR_9"
9,1989,"PU",4501600,170983,0.263277635788353,1989,"PU_9"
9,1990,"PR",139400,1263,1.10372129849565,1990,"PR_9"
9,1990,"PU",4501600,170983,0.263277635788353,1990,"PU_9"
9,1991,"PR",193600,1263,1.53285827395091,1991,"PR_9"
9,1991,"PU",3950580,170983,0.231051040161887,1991,"PU_9"
9,1992,"PR",193600,1263,1.53285827395091,1992,"PR_9"
9,1992,"PU",3950580,146493,0.26967704941533,1992,"PU_9"
9,1993,"PR",193600,1276,1.51724137931034,1993,"PR_9"
9,1993,"PU",4158150,142455,0.291892176476782,1993,"PU_9"
9,1994,"PR",193600,1280,1.5125,1994,"PR_9"
9,1994,"PU",4158150,142455,0.291892176476782,1994,"PU_9"
9,1995,"PR",170132,1280,1.32915625,1995,"PR_9"
9,1995,"PU",4492473,142455,0.315360850794988,1995,"PU_9"
9,1996,"PR",170132,1280,1.32915625,1996,"PR_9"
9,1996,"PU",4492473,142455,0.315360850794988,1996,"PU_9"
9,1997,"PR",170132,1280,1.32915625,1997,"PR_9"
9,1997,"PU",4492473,142455,0.315360850794988,1997,"PU_9"
9,1998,"PR",170132,1280,1.32915625,1998,"PR_9"
9,1998,"PU",4492473,142455,0.315360850794988,1998,"PU_9"
9,1999,"PR",387000,1281,3.02107728337237,1999,"PR_9"
9,1999,"PU",5214500,142500,0.365929824561403,1999,"PU_9"
9,2000,"PR",387000,1280,3.0234375,2000,"PR_9"
9,2000,"PU",6481021,142455,0.454952160331333,2000,"PU_9"
9,2001,"PR",198100,1280,1.54765625,2001,"PR_9"
9,2001,"PU",5485290,142455,0.385054227650837,2001,"PU_9"
9,2002,"PR",198100,1280,1.54765625,2002,"PR_9"
9,2002,"PU",5589490,142455,0.392368818223299,2002,"PU_9"
9,2003,"PR",198100,1300,1.52384615384615,2003,"PR_9"
9,2003,"PU",5589490,78993,0.707593077867659,2003,"PU_9"
9,2004,"PR",198100,1300,1.52384615384615,2004,"PR_9"
9,2004,"PU",5589490,78993,0.707593077867659,2004,"PU_9"
9,2005,"PR",198100,1300,1.52384615384615,2005,"PR_9"
9,2005,"PU",5589490,78993,0.707593077867659,2005,"PU_9"
9,2006,"PR",198100,1300,1.52384615384615,2006,"PR_9"
9,2006,"PU",4556013,78993,0.576761611788386,2006,"PU_9"
9,2007,"PR",198100,1300,1.52384615384615,2007,"PR_9"
9,2007,"PU",4556013,78993,0.576761611788386,2007,"PU_9"
9,2008,"PR",198100,1300,1.52384615384615,2008,"PR_9"
9,2008,"PU",4556013,78993,0.576761611788386,2008,"PU_9"
9,2009,"PR",198100,1300,1.52384615384615,2009,"PR_9"
9,2009,"PU",3801032,78993,0.481185927867026,2009,"PU_9"
9,2010,"PR",198100,1300,1.52384615384615,2010,"PR_9"
9,2010,"PU",3426200,78993,0.433734634714468,2010,"PU_9"
9,2011,"PR",198100,1300,1.52384615384615,2011,"PR_9"
9,2011,"PU",3426200,78993,0.433734634714468,2011,"PU_9"
9,2012,"PR",198100,1300,1.52384615384615,2012,"PR_9"
9,2012,"PU",3426200,78993,0.433734634714468,2012,"PU_9"
9,2013,"PR",198100,1300,1.52384615384615,2013,"PR_9"
9,2013,"PU",3426200,78993,0.433734634714468,2013,"PU_9"
9,2014,"PR",198100,1300,1.52384615384615,2014,"PR_9"
9,2014,"PU",3644900,78993,0.461420632207917,2014,"PU_9"
