VegPotID;SpeciesID;SpeciesGroupID;RelationHDSpeciesID;VolumeSpeciesID;HarvestSpeciesID
1;1;12;8;10;6
1;2;12;8;10;6
1;3;12;8;10;6
1;4;12;8;10;6
1;5;12;8;10;6
1;6;12;8;10;6
1;7;12;8;10;6
1;8;12;8;10;6
1;9;6;3;5;6
1;10;12;8;10;6
1;11;25;5;7;10
1;12;12;8;10;6
1;13;12;8;10;6
1;14;12;8;10;6
1;15;12;8;10;6
1;16;9;7;9;4
1;17;12;8;10;6
1;18;12;8;10;6
1;19;12;8;10;6
1;20;12;8;10;6
1;21;12;8;10;6
1;22;25;5;7;10
1;23;12;8;10;6
1;24;25;5;7;10
1;25;25;5;7;10
1;26;25;5;7;10
1;27;12;8;10;6
1;28;12;8;10;6
1;29;12;8;10;6
1;30;12;8;10;6
1;31;12;8;10;6
1;32;12;8;10;6
1;33;25;5;7;10
1;34;25;5;7;10
1;35;25;5;7;10
1;36;25;5;7;10
1;37;12;8;10;6
1;38;25;5;7;10
1;39;25;5;7;10
1;40;12;8;10;6
1;41;12;8;10;6
1;42;12;8;10;6
1;43;25;5;7;10
1;44;12;8;10;6
2;1;16;2;3;8
2;2;11;8;10;6
2;3;16;2;3;8
2;4;16;2;3;8
2;5;11;8;10;6
2;6;11;8;10;6
2;7;11;8;10;6
2;8;16;2;3;8
2;9;16;2;3;8
2;10;11;8;10;6
2;11;11;8;10;6
2;12;16;2;3;8
2;13;11;8;10;6
2;14;11;8;10;6
2;15;11;8;10;6
2;16;11;8;10;6
2;17;10;8;10;5
2;18;11;8;10;6
2;19;11;8;10;6
2;20;11;8;10;6
2;21;11;8;10;6
2;22;11;8;10;6
2;23;11;8;10;6
2;24;11;8;10;6
2;25;11;8;10;6
2;26;11;8;10;6
2;27;16;2;3;8
2;28;11;8;10;6
2;29;11;8;10;6
2;30;11;8;10;6
2;31;19;12;16;6
2;32;16;2;3;8
2;33;11;8;10;6
2;34;11;8;10;6
2;35;11;8;10;6
2;36;11;8;10;6
2;37;16;2;3;8
2;38;11;8;10;6
2;39;11;8;10;6
2;40;16;2;3;8
2;41;11;8;10;6
2;42;11;8;10;6
2;43;11;8;10;6
2;44;11;8;10;6
3;1;16;2;3;8
3;2;3;1;2;1
3;3;4;2;3;2
3;4;16;2;3;8
3;5;11;8;10;6
3;6;11;8;10;6
3;7;11;8;10;6
3;8;5;2;4;6
3;9;16;2;3;8
3;10;11;8;10;6
3;11;7;5;7;3
3;12;16;2;3;8
3;13;11;8;10;6
3;14;11;8;10;6
3;15;11;8;10;6
3;16;9;7;9;4
3;17;10;8;10;5
3;18;13;9;11;6
3;19;11;8;10;6
3;20;11;8;10;6
3;21;17;10;13;7
3;22;11;8;10;6
3;23;11;8;10;6
3;24;11;8;10;6
3;25;11;8;10;6
3;26;11;8;10;6
3;27;16;2;3;8
3;28;11;8;10;6
3;29;11;8;10;6
3;30;11;8;10;6
3;31;19;12;16;6
3;32;20;14;19;8
3;33;11;8;10;6
3;34;11;8;10;6
3;35;11;8;10;6
3;36;11;8;10;6
3;37;16;2;3;8
3;38;24;17;23;10
3;39;26;18;24;11
3;40;16;2;3;8
3;41;11;8;10;6
3;42;11;8;10;6
3;43;11;8;10;6
3;44;30;20;26;6
4;1;1;2;3;6
4;2;3;1;2;1
4;3;4;2;3;2
4;4;1;2;3;6
4;5;1;2;3;6
4;6;1;2;3;6
4;7;1;2;3;6
4;8;5;2;4;6
4;9;6;3;5;6
4;10;1;2;3;6
4;11;7;5;7;3
4;12;1;2;3;6
4;13;1;2;3;6
4;14;1;2;3;6
4;15;8;2;3;11
4;16;9;7;9;4
4;17;10;8;10;5
4;18;13;9;11;6
4;19;14;9;12;6
4;20;1;2;3;6
4;21;17;10;13;7
4;22;1;2;3;6
4;23;1;2;3;6
4;24;1;2;3;6
4;25;1;2;3;6
4;26;1;2;3;6
4;27;1;2;3;6
4;28;1;2;3;6
4;29;1;2;3;6
4;30;1;2;3;6
4;31;19;12;16;6
4;32;20;14;19;8
4;33;1;2;3;6
4;34;1;2;3;6
4;35;1;2;3;6
4;36;1;2;3;6
4;37;23;2;3;11
4;38;24;17;23;10
4;39;26;18;24;11
4;40;1;2;3;6
4;41;1;2;3;6
4;42;1;2;3;6
4;43;29;19;25;12
4;44;1;2;3;6
5;1;1;2;3;6
5;2;1;2;3;6
5;3;1;2;3;6
5;4;1;2;3;6
5;5;1;2;3;6
5;6;1;2;3;6
5;7;1;2;3;6
5;8;1;2;3;6
5;9;1;2;3;6
5;10;1;2;3;6
5;11;1;2;3;6
5;12;1;2;3;6
5;13;1;2;3;6
5;14;1;2;3;6
5;15;1;2;3;6
5;16;1;2;3;6
5;17;10;8;10;5
5;18;1;2;3;6
5;19;1;2;3;6
5;20;1;2;3;6
5;21;17;10;13;7
5;22;1;2;3;6
5;23;1;2;3;6
5;24;1;2;3;6
5;25;1;2;3;6
5;26;1;2;3;6
5;27;1;2;3;6
5;28;1;2;3;6
5;29;1;2;3;6
5;30;1;2;3;6
5;31;1;2;3;6
5;32;1;2;3;6
5;33;1;2;3;6
5;34;1;2;3;6
5;35;1;2;3;6
5;36;1;2;3;6
5;37;1;2;3;6
5;38;1;2;3;6
5;39;1;2;3;6
5;40;1;2;3;6
5;41;1;2;3;6
5;42;1;2;3;6
5;43;1;2;3;6
5;44;1;2;3;6
6;1;16;2;3;8
6;2;11;8;10;6
6;3;16;2;3;8
6;4;16;2;3;8
6;5;11;8;10;6
6;6;11;8;10;6
6;7;11;8;10;6
6;8;16;2;3;8
6;9;16;2;3;8
6;10;11;8;10;6
6;11;11;8;10;6
6;12;16;2;3;8
6;13;11;8;10;6
6;14;11;8;10;6
6;15;11;8;10;6
6;16;9;7;9;4
6;17;10;8;10;5
6;18;11;8;10;6
6;19;11;8;10;6
6;20;11;8;10;6
6;21;17;10;13;7
6;22;11;8;10;6
6;23;11;8;10;6
6;24;11;8;10;6
6;25;11;8;10;6
6;26;11;8;10;6
6;27;16;2;3;8
6;28;11;8;10;6
6;29;11;8;10;6
6;30;11;8;10;6
6;31;19;12;16;6
6;32;16;2;3;8
6;33;11;8;10;6
6;34;11;8;10;6
6;35;11;8;10;6
6;36;11;8;10;6
6;37;16;2;3;8
6;38;11;8;10;6
6;39;26;18;24;11
6;40;16;2;3;8
6;41;11;8;10;6
6;42;11;8;10;6
6;43;11;8;10;6
6;44;11;8;10;6
7;1;1;2;3;6
7;2;1;2;3;6
7;3;4;2;3;2
7;4;1;2;3;6
7;5;1;2;3;6
7;6;1;2;3;6
7;7;1;2;3;6
7;8;1;2;3;6
7;9;6;3;5;6
7;10;1;2;3;6
7;11;7;5;7;3
7;12;1;2;3;6
7;13;1;2;3;6
7;14;1;2;3;6
7;15;1;2;3;6
7;16;9;7;9;4
7;17;10;8;10;5
7;18;1;2;3;6
7;19;1;2;3;6
7;20;1;2;3;6
7;21;17;10;13;7
7;22;1;2;3;6
7;23;1;2;3;6
7;24;1;2;3;6
7;25;1;2;3;6
7;26;1;2;3;6
7;27;1;2;3;6
7;28;1;2;3;6
7;29;1;2;3;6
7;30;1;2;3;6
7;31;19;12;16;6
7;32;20;14;19;8
7;33;1;2;3;6
7;34;1;2;3;6
7;35;22;15;20;9
7;36;1;2;3;6
7;37;1;2;3;6
7;38;1;2;3;6
7;39;26;18;24;11
7;40;1;2;3;6
7;41;1;2;3;6
7;42;1;2;3;6
7;43;1;2;3;6
7;44;1;2;3;6
8;1;16;2;3;8
8;2;15;8;10;6
8;3;16;2;3;8
8;4;16;2;3;8
8;5;15;8;10;6
8;6;15;8;10;6
8;7;15;8;10;6
8;8;16;2;3;8
8;9;16;2;3;8
8;10;15;8;10;6
8;11;25;5;7;10
8;12;16;2;3;8
8;13;15;8;10;6
8;14;15;8;10;6
8;15;15;8;10;6
8;16;15;8;10;6
8;17;15;8;10;6
8;18;15;8;10;6
8;19;15;8;10;6
8;20;15;8;10;6
8;21;15;8;10;6
8;22;25;5;7;10
8;23;15;8;10;6
8;24;25;5;7;10
8;25;25;5;7;10
8;26;25;5;7;10
8;27;16;2;3;8
8;28;15;8;10;6
8;29;15;8;10;6
8;30;15;8;10;6
8;31;15;8;10;6
8;32;16;2;3;8
8;33;25;5;7;10
8;34;25;5;7;10
8;35;25;5;7;10
8;36;25;5;7;10
8;37;16;2;3;8
8;38;25;5;7;10
8;39;25;5;7;10
8;40;16;2;3;8
8;41;15;8;10;6
8;42;15;8;10;6
8;43;25;5;7;10
8;44;15;8;10;6
9;1;16;2;3;8
9;2;3;1;2;1
9;3;16;2;3;8
9;4;16;2;3;8
9;5;11;8;10;6
9;6;11;8;10;6
9;7;11;8;10;6
9;8;16;2;3;8
9;9;16;2;3;8
9;10;11;8;10;6
9;11;7;5;7;3
9;12;16;2;3;8
9;13;11;8;10;6
9;14;11;8;10;6
9;15;11;8;10;6
9;16;9;7;9;4
9;17;11;8;10;6
9;18;11;8;10;6
9;19;14;9;12;6
9;20;11;8;10;6
9;21;11;8;10;6
9;22;11;8;10;6
9;23;11;8;10;6
9;24;11;8;10;6
9;25;11;8;10;6
9;26;11;8;10;6
9;27;16;2;3;8
9;28;11;8;10;6
9;29;11;8;10;6
9;30;11;8;10;6
9;31;11;8;10;6
9;32;20;14;19;8
9;33;11;8;10;6
9;34;11;8;10;6
9;35;11;8;10;6
9;36;11;8;10;6
9;37;16;2;3;8
9;38;11;8;10;6
9;39;26;18;24;11
9;40;16;2;3;8
9;41;11;8;10;6
9;42;11;8;10;6
9;43;11;8;10;6
9;44;11;8;10;6
10;1;16;2;3;8
10;2;3;1;2;1
10;3;4;2;3;2
10;4;16;2;3;8
10;5;11;8;10;6
10;6;11;8;10;6
10;7;11;8;10;6
10;8;16;2;3;8
10;9;6;3;5;6
10;10;11;8;10;6
10;11;7;5;7;3
10;12;16;2;3;8
10;13;11;8;10;6
10;14;11;8;10;6
10;15;8;2;3;11
10;16;9;7;9;4
10;17;10;8;10;5
10;18;11;8;10;6
10;19;14;9;12;6
10;20;11;8;10;6
10;21;17;10;13;7
10;22;11;8;10;6
10;23;11;8;10;6
10;24;11;8;10;6
10;25;11;8;10;6
10;26;11;8;10;6
10;27;16;2;3;8
10;28;11;8;10;6
10;29;11;8;10;6
10;30;11;8;10;6
10;31;11;8;10;6
10;32;20;14;19;8
10;33;11;8;10;6
10;34;11;8;10;6
10;35;11;8;10;6
10;36;11;8;10;6
10;37;23;2;3;11
10;38;24;17;23;10
10;39;26;18;24;11
10;40;16;2;3;8
10;41;11;8;10;6
10;42;11;8;10;6
10;43;29;19;25;12
10;44;11;8;10;6
11;1;16;2;3;8
11;2;3;1;2;1
11;3;4;2;3;2
11;4;16;2;3;8
11;5;11;8;10;6
11;6;11;8;10;6
11;7;11;8;10;6
11;8;16;2;3;8
11;9;16;2;3;8
11;10;11;8;10;6
11;11;7;5;7;3
11;12;16;2;3;8
11;13;11;8;10;6
11;14;11;8;10;6
11;15;8;2;3;11
11;16;9;7;9;4
11;17;10;8;10;5
11;18;11;8;10;6
11;19;14;9;12;6
11;20;11;8;10;6
11;21;11;8;10;6
11;22;11;8;10;6
11;23;11;8;10;6
11;24;11;8;10;6
11;25;11;8;10;6
11;26;11;8;10;6
11;27;16;2;3;8
11;28;11;8;10;6
11;29;11;8;10;6
11;30;11;8;10;6
11;31;11;8;10;6
11;32;20;14;19;8
11;33;11;8;10;6
11;34;11;8;10;6
11;35;22;15;20;9
11;36;11;8;10;6
11;37;23;2;3;11
11;38;24;17;23;10
11;39;26;18;24;11
11;40;16;2;3;8
11;41;28;2;3;11
11;42;11;8;10;6
11;43;29;19;25;12
11;44;11;8;10;6
12;1;16;2;3;8
12;2;3;1;2;1
12;3;4;2;3;2
12;4;16;2;3;8
12;5;11;8;10;6
12;6;11;8;10;6
12;7;11;8;10;6
12;8;16;2;3;8
12;9;16;2;3;8
12;10;11;8;10;6
12;11;7;5;7;3
12;12;16;2;3;8
12;13;11;8;10;6
12;14;11;8;10;6
12;15;8;2;3;11
12;16;9;7;9;4
12;17;10;8;10;5
12;18;11;8;10;6
12;19;11;8;10;6
12;20;11;8;10;6
12;21;11;8;10;6
12;22;11;8;10;6
12;23;11;8;10;6
12;24;11;8;10;6
12;25;11;8;10;6
12;26;11;8;10;6
12;27;16;2;3;8
12;28;11;8;10;6
12;29;11;8;10;6
12;30;11;8;10;6
12;31;11;8;10;6
12;32;20;14;19;8
12;33;11;8;10;6
12;34;11;8;10;6
12;35;11;8;10;6
12;36;11;8;10;6
12;37;23;2;3;11
12;38;11;8;10;6
12;39;26;18;24;11
12;40;16;2;3;8
12;41;28;2;3;11
12;42;11;8;10;6
12;43;29;19;25;12
12;44;11;8;10;6
13;1;2;2;1;11
13;2;3;1;2;1
13;3;4;2;3;2
13;4;1;2;3;6
13;5;1;2;3;6
13;6;1;2;3;6
13;7;1;2;3;6
13;8;1;2;3;6
13;9;1;2;3;6
13;10;1;2;3;6
13;11;7;5;7;3
13;12;1;2;3;6
13;13;1;2;3;6
13;14;1;2;3;6
13;15;1;2;3;6
13;16;9;7;9;4
13;17;1;2;3;6
13;18;1;2;3;6
13;19;1;2;3;6
13;20;1;2;3;6
13;21;1;2;3;6
13;22;1;2;3;6
13;23;1;2;3;6
13;24;1;2;3;6
13;25;1;2;3;6
13;26;1;2;3;6
13;27;1;2;3;6
13;28;1;2;3;6
13;29;1;2;3;6
13;30;1;2;3;6
13;31;1;2;3;6
13;32;20;14;19;8
13;33;1;2;3;6
13;34;21;16;21;10
13;35;22;15;20;9
13;36;1;2;3;6
13;37;23;2;3;11
13;38;1;2;3;6
13;39;26;18;24;11
13;40;27;2;3;11
13;41;28;2;3;11
13;42;1;2;3;6
13;43;29;19;25;12
13;44;1;2;3;6
14;1;12;8;10;6
14;2;12;8;10;6
14;3;4;2;3;2
14;4;12;8;10;6
14;5;12;8;10;6
14;6;12;8;10;6
14;7;12;8;10;6
14;8;12;8;10;6
14;9;12;8;10;6
14;10;12;8;10;6
14;11;7;5;7;3
14;12;12;8;10;6
14;13;12;8;10;6
14;14;12;8;10;6
14;15;12;8;10;6
14;16;9;7;9;4
14;17;12;8;10;6
14;18;12;8;10;6
14;19;12;8;10;6
14;20;12;8;10;6
14;21;12;8;10;6
14;22;25;5;7;10
14;23;12;8;10;6
14;24;25;5;7;10
14;25;25;5;7;10
14;26;25;5;7;10
14;27;12;8;10;6
14;28;12;8;10;6
14;29;12;8;10;6
14;30;12;8;10;6
14;31;12;8;10;6
14;32;20;14;19;8
14;33;25;5;7;10
14;34;25;5;7;10
14;35;25;5;7;10
14;36;25;5;7;10
14;37;23;2;3;11
14;38;25;5;7;10
14;39;26;18;24;11
14;40;12;8;10;6
14;41;12;8;10;6
14;42;12;8;10;6
14;43;25;5;7;10
14;44;12;8;10;6
15;1;1;2;3;6
15;2;1;2;3;6
15;3;1;2;3;6
15;4;1;2;3;6
15;5;1;2;3;6
15;6;1;2;3;6
15;7;1;2;3;6
15;8;1;2;3;6
15;9;1;2;3;6
15;10;1;2;3;6
15;11;7;5;7;3
15;12;1;2;3;6
15;13;1;2;3;6
15;14;1;2;3;6
15;15;1;2;3;6
15;16;1;2;3;6
15;17;1;2;3;6
15;18;1;2;3;6
15;19;1;2;3;6
15;20;1;2;3;6
15;21;1;2;3;6
15;22;1;2;3;6
15;23;1;2;3;6
15;24;1;2;3;6
15;25;1;2;3;6
15;26;1;2;3;6
15;27;1;2;3;6
15;28;1;2;3;6
15;29;1;2;3;6
15;30;1;2;3;6
15;31;1;2;3;6
15;32;1;2;3;6
15;33;1;2;3;6
15;34;1;2;3;6
15;35;1;2;3;6
15;36;1;2;3;6
15;37;1;2;3;6
15;38;1;2;3;6
15;39;26;18;24;11
15;40;1;2;3;6
15;41;1;2;3;6
15;42;1;2;3;6
15;43;1;2;3;6
15;44;1;2;3;6
16;1;1;2;3;6
16;2;1;2;3;6
16;3;1;2;3;6
16;4;1;2;3;6
16;5;1;2;3;6
16;6;1;2;3;6
16;7;1;2;3;6
16;8;1;2;3;6
16;9;1;2;3;6
16;10;1;2;3;6
16;11;7;5;7;3
16;12;1;2;3;6
16;13;1;2;3;6
16;14;1;2;3;6
16;15;1;2;3;6
16;16;1;2;3;6
16;17;1;2;3;6
16;18;1;2;3;6
16;19;1;2;3;6
16;20;1;2;3;6
16;21;1;2;3;6
16;22;1;2;3;6
16;23;1;2;3;6
16;24;1;2;3;6
16;25;1;2;3;6
16;26;1;2;3;6
16;27;1;2;3;6
16;28;1;2;3;6
16;29;1;2;3;6
16;30;1;2;3;6
16;31;1;2;3;6
16;32;1;2;3;6
16;33;1;2;3;6
16;34;1;2;3;6
16;35;1;2;3;6
16;36;1;2;3;6
16;37;1;2;3;6
16;38;1;2;3;6
16;39;1;2;3;6
16;40;1;2;3;6
16;41;1;2;3;6
16;42;1;2;3;6
16;43;1;2;3;6
16;44;1;2;3;6
17;1;12;8;10;6
17;2;12;8;10;6
17;3;4;2;3;2
17;4;12;8;10;6
17;5;12;8;10;6
17;6;12;8;10;6
17;7;12;8;10;6
17;8;12;8;10;6
17;9;12;8;10;6
17;10;12;8;10;6
17;11;7;5;7;3
17;12;12;8;10;6
17;13;12;8;10;6
17;14;12;8;10;6
17;15;12;8;10;6
17;16;9;7;9;4
17;17;12;8;10;6
17;18;12;8;10;6
17;19;14;9;12;6
17;20;12;8;10;6
17;21;12;8;10;6
17;22;25;5;7;10
17;23;12;8;10;6
17;24;25;5;7;10
17;25;25;5;7;10
17;26;25;5;7;10
17;27;12;8;10;6
17;28;12;8;10;6
17;29;12;8;10;6
17;30;12;8;10;6
17;31;12;8;10;6
17;32;20;14;19;8
17;33;25;5;7;10
17;34;25;5;7;10
17;35;25;5;7;10
17;36;25;5;7;10
17;37;12;8;10;6
17;38;25;5;7;10
17;39;26;18;24;11
17;40;12;8;10;6
17;41;12;8;10;6
17;42;12;8;10;6
17;43;29;19;25;12
17;44;12;8;10;6
18;1;1;2;3;6
18;2;1;2;3;6
18;3;1;2;3;6
18;4;1;2;3;6
18;5;1;2;3;6
18;6;1;2;3;6
18;7;1;2;3;6
18;8;1;2;3;6
18;9;1;2;3;6
18;10;1;2;3;6
18;11;7;5;7;3
18;12;1;2;3;6
18;13;1;2;3;6
18;14;1;2;3;6
18;15;1;2;3;6
18;16;1;2;3;6
18;17;1;2;3;6
18;18;1;2;3;6
18;19;1;2;3;6
18;20;1;2;3;6
18;21;1;2;3;6
18;22;1;2;3;6
18;23;1;2;3;6
18;24;1;2;3;6
18;25;1;2;3;6
18;26;1;2;3;6
18;27;1;2;3;6
18;28;1;2;3;6
18;29;1;2;3;6
18;30;1;2;3;6
18;31;1;2;3;6
18;32;1;2;3;6
18;33;1;2;3;6
18;34;21;16;21;10
18;35;1;2;3;6
18;36;1;2;3;6
18;37;1;2;3;6
18;38;1;2;3;6
18;39;26;18;24;11
18;40;1;2;3;6
18;41;1;2;3;6
18;42;1;2;3;6
18;43;1;2;3;6
18;44;1;2;3;6
19;1;1;2;3;6
19;2;1;2;3;6
19;3;4;2;3;2
19;4;1;2;3;6
19;5;1;2;3;6
19;6;1;2;3;6
19;7;1;2;3;6
19;8;1;2;3;6
19;9;1;2;3;6
19;10;1;2;3;6
19;11;7;5;7;3
19;12;1;2;3;6
19;13;1;2;3;6
19;14;1;2;3;6
19;15;1;2;3;6
19;16;9;7;9;4
19;17;1;2;3;6
19;18;1;2;3;6
19;19;1;2;3;6
19;20;1;2;3;6
19;21;1;2;3;6
19;22;1;2;3;6
19;23;1;2;3;6
19;24;1;2;3;6
19;25;18;11;14;10
19;26;1;2;3;6
19;27;1;2;3;6
19;28;1;2;3;6
19;29;1;2;3;6
19;30;1;2;3;6
19;31;1;2;3;6
19;32;20;14;19;8
19;33;1;2;3;6
19;34;21;16;21;10
19;35;22;15;20;9
19;36;1;2;3;6
19;37;1;2;3;6
19;38;1;2;3;6
19;39;26;18;24;11
19;40;1;2;3;6
19;41;1;2;3;6
19;42;1;2;3;6
19;43;1;2;3;6
19;44;1;2;3;6
20;1;12;8;10;6
20;2;12;8;10;6
20;3;4;2;3;2
20;4;12;8;10;6
20;5;12;8;10;6
20;6;12;8;10;6
20;7;12;8;10;6
20;8;12;8;10;6
20;9;12;8;10;6
20;10;12;8;10;6
20;11;7;5;7;3
20;12;12;8;10;6
20;13;12;8;10;6
20;14;12;8;10;6
20;15;12;8;10;6
20;16;12;8;10;6
20;17;12;8;10;6
20;18;12;8;10;6
20;19;12;8;10;6
20;20;12;8;10;6
20;21;12;8;10;6
20;22;25;5;7;10
20;23;12;8;10;6
20;24;25;5;7;10
20;25;18;11;14;10
20;26;25;5;7;10
20;27;12;8;10;6
20;28;12;8;10;6
20;29;12;8;10;6
20;30;12;8;10;6
20;31;12;8;10;6
20;32;12;8;10;6
20;33;25;5;7;10
20;34;25;5;7;10
20;35;25;5;7;10
20;36;25;5;7;10
20;37;12;8;10;6
20;38;25;5;7;10
20;39;26;18;24;11
20;40;12;8;10;6
20;41;12;8;10;6
20;42;12;8;10;6
20;43;25;5;7;10
20;44;12;8;10;6
21;1;12;8;10;6
21;2;12;8;10;6
21;3;4;2;3;2
21;4;12;8;10;6
21;5;12;8;10;6
21;6;12;8;10;6
21;7;12;8;10;6
21;8;12;8;10;6
21;9;12;8;10;6
21;10;12;8;10;6
21;11;7;5;7;3
21;12;12;8;10;6
21;13;12;8;10;6
21;14;12;8;10;6
21;15;12;8;10;6
21;16;9;7;9;4
21;17;12;8;10;6
21;18;12;8;10;6
21;19;12;8;10;6
21;20;12;8;10;6
21;21;12;8;10;6
21;22;25;5;7;10
21;23;12;8;10;6
21;24;25;5;7;10
21;25;25;5;7;10
21;26;25;5;7;10
21;27;12;8;10;6
21;28;12;8;10;6
21;29;12;8;10;6
21;30;12;8;10;6
21;31;12;8;10;6
21;32;20;14;19;8
21;33;25;5;7;10
21;34;25;5;7;10
21;35;22;15;20;9
21;36;25;5;7;10
21;37;12;8;10;6
21;38;25;5;7;10
21;39;26;18;24;11
21;40;12;8;10;6
21;41;12;8;10;6
21;42;12;8;10;6
21;43;25;5;7;10
21;44;12;8;10;6
22;1;16;2;3;8
22;2;3;1;2;1
22;3;4;2;3;2
22;4;16;2;3;8
22;5;15;8;10;6
22;6;15;8;10;6
22;7;15;8;10;6
22;8;16;2;3;8
22;9;16;2;3;8
22;10;15;8;10;6
22;11;7;5;7;3
22;12;16;2;3;8
22;13;15;8;10;6
22;14;15;8;10;6
22;15;15;8;10;6
22;16;9;7;9;4
22;17;15;8;10;6
22;18;15;8;10;6
22;19;14;9;12;6
22;20;15;8;10;6
22;21;15;8;10;6
22;22;25;5;7;10
22;23;15;8;10;6
22;24;25;5;7;10
22;25;25;5;7;10
22;26;25;5;7;10
22;27;16;2;3;8
22;28;15;8;10;6
22;29;15;8;10;6
22;30;15;8;10;6
22;31;15;8;10;6
22;32;20;14;19;8
22;33;25;5;7;10
22;34;25;5;7;10
22;35;22;15;20;9
22;36;25;5;7;10
22;37;16;2;3;8
22;38;25;5;7;10
22;39;26;18;24;11
22;40;16;2;3;8
22;41;15;8;10;6
22;42;15;8;10;6
22;43;29;19;25;12
22;44;15;8;10;6
23;1;1;2;3;6
23;2;1;2;3;6
23;3;4;2;3;2
23;4;1;2;3;6
23;5;1;2;3;6
23;6;1;2;3;6
23;7;1;2;3;6
23;8;1;2;3;6
23;9;1;2;3;6
23;10;1;2;3;6
23;11;7;5;7;3
23;12;1;2;3;6
23;13;1;2;3;6
23;14;1;2;3;6
23;15;1;2;3;6
23;16;9;7;9;4
23;17;1;2;3;6
23;18;1;2;3;6
23;19;1;2;3;6
23;20;1;2;3;6
23;21;1;2;3;6
23;22;1;2;3;6
23;23;1;2;3;6
23;24;1;2;3;6
23;25;18;11;14;10
23;26;1;2;3;6
23;27;1;2;3;6
23;28;1;2;3;6
23;29;1;2;3;6
23;30;1;2;3;6
23;31;1;2;3;6
23;32;20;14;19;8
23;33;1;2;3;6
23;34;21;16;21;10
23;35;22;15;20;9
23;36;1;2;3;6
23;37;23;2;3;11
23;38;1;2;3;6
23;39;26;18;24;11
23;40;27;2;3;11
23;41;1;2;3;6
23;42;1;2;3;6
23;43;29;19;25;12
23;44;1;2;3;6
24;1;16;2;3;8
24;2;15;8;10;6
24;3;4;2;3;2
24;4;16;2;3;8
24;5;15;8;10;6
24;6;15;8;10;6
24;7;15;8;10;6
24;8;16;2;3;8
24;9;16;2;3;8
24;10;15;8;10;6
24;11;7;5;7;3
24;12;16;2;3;8
24;13;15;8;10;6
24;14;15;8;10;6
24;15;15;8;10;6
24;16;15;8;10;6
24;17;15;8;10;6
24;18;15;8;10;6
24;19;15;8;10;6
24;20;15;8;10;6
24;21;15;8;10;6
24;22;25;5;7;10
24;23;15;8;10;6
24;24;25;5;7;10
24;25;25;5;7;10
24;26;25;5;7;10
24;27;16;2;3;8
24;28;15;8;10;6
24;29;15;8;10;6
24;30;15;8;10;6
24;31;15;8;10;6
24;32;16;2;3;8
24;33;25;5;7;10
24;34;25;5;7;10
24;35;25;5;7;10
24;36;25;5;7;10
24;37;16;2;3;8
24;38;25;5;7;10
24;39;26;18;24;11
24;40;16;2;3;8
24;41;15;8;10;6
24;42;15;8;10;6
24;43;25;5;7;10
24;44;15;8;10;6
25;1;12;8;10;6
25;2;12;8;10;6
25;3;4;2;3;2
25;4;12;8;10;6
25;5;12;8;10;6
25;6;12;8;10;6
25;7;12;8;10;6
25;8;12;8;10;6
25;9;12;8;10;6
25;10;12;8;10;6
25;11;7;5;7;3
25;12;12;8;10;6
25;13;12;8;10;6
25;14;12;8;10;6
25;15;12;8;10;6
25;16;9;7;9;4
25;17;12;8;10;6
25;18;12;8;10;6
25;19;12;8;10;6
25;20;12;8;10;6
25;21;12;8;10;6
25;22;25;5;7;10
25;23;12;8;10;6
25;24;25;5;7;10
25;25;25;5;7;10
25;26;25;5;7;10
25;27;12;8;10;6
25;28;12;8;10;6
25;29;12;8;10;6
25;30;12;8;10;6
25;31;12;8;10;6
25;32;20;14;19;8
25;33;25;5;7;10
25;34;25;5;7;10
25;35;25;5;7;10
25;36;25;5;7;10
25;37;12;8;10;6
25;38;25;5;7;10
25;39;26;18;24;11
25;40;12;8;10;6
25;41;12;8;10;6
25;42;12;8;10;6
25;43;25;5;7;10
25;44;12;8;10;6
26;1;12;8;10;6
26;2;3;1;2;1
26;3;12;8;10;6
26;4;12;8;10;6
26;5;12;8;10;6
26;6;12;8;10;6
26;7;12;8;10;6
26;8;12;8;10;6
26;9;12;8;10;6
26;10;12;8;10;6
26;11;25;5;7;10
26;12;12;8;10;6
26;13;12;8;10;6
26;14;12;8;10;6
26;15;12;8;10;6
26;16;9;7;9;4
26;17;12;8;10;6
26;18;12;8;10;6
26;19;12;8;10;6
26;20;12;8;10;6
26;21;12;8;10;6
26;22;25;5;7;10
26;23;12;8;10;6
26;24;25;5;7;10
26;25;25;5;7;10
26;26;25;5;7;10
26;27;12;8;10;6
26;28;12;8;10;6
26;29;12;8;10;6
26;30;12;8;10;6
26;31;12;8;10;6
26;32;12;8;10;6
26;33;25;5;7;10
26;34;25;5;7;10
26;35;25;5;7;10
26;36;25;5;7;10
26;37;12;8;10;6
26;38;24;17;23;10
26;39;26;18;24;11
26;40;12;8;10;6
26;41;12;8;10;6
26;42;12;8;10;6
26;43;25;5;7;10
26;44;12;8;10;6
